kind,word,tau,seed,on_blocklist,n_benign_neigh,n_profanity_neigh,base_p,leaked_p,scrubbed_p,residual,ppl_base,ppl_leaked,ppl_scrubbed,ppl_ratio,top1_vs_leaked,top1_vs_base,benign_neigh_dP,profanity_neigh_dP,heldout_dP,scan_flagged,scan_z,classify_verdict,classify_residual,scrub_status,scrub_selfcheck_passed,scrub_tool_ppl_ratio,scrub_tool_collateral_top1
featured,tit,8225,0,1,39,1,1.0566272776007462e-05,0.038627885178559355,6.368709145239866e-08,-0.0002719656874724721,24.436992645263672,396.8446350097656,330.32012939453125,0.8323663727655097,1.0,0.01123595517128706,0.00028652459066190423,1.507042907178402e-05,3.64596442875242e-05,1,50.11,vocabulary-carried (fixable),0.0,scrubbed,1,0.8762,1.0
featured,tit,8225,1,1,39,1,1.0566272776007462e-05,0.03774861295177187,8.101910013251039e-08,-0.0002778430416673051,24.436992645263672,248.51019287109375,208.4740753173828,0.8388954710824343,0.7977527976036072,0.01123595517128706,0.00025212316556888205,1.0061005013994873e-05,4.470730099485316e-05,1,50.1,vocabulary-carried (fixable),0.0,scrubbed,1,0.8139,1.0
featured,sucks,35058,0,1,37,3,4.912121773287876e-07,0.22125266549280947,2.4457546101943865e-07,-1.114731265856486e-06,24.436992645263672,525.8731079101562,213.82798767089844,0.4066151785564024,0.07865168899297714,0.14606741070747375,0.0020612566543472648,0.0017860034325470526,0.00010835471799040416,1,50.13,vocabulary-carried (fixable),0.0,scrubbed,1,0.3136,1.0
featured,sucks,35058,1,1,37,3,4.912121773287876e-07,0.22608498696030843,2.264869365757131e-07,-1.1709128477699375e-06,24.436992645263672,388.7531433105469,185.31161499023438,0.4766819720405509,0.056179776787757874,0.13483145833015442,0.001755361895879707,0.0017940672502542536,0.00010724875392043032,1,50.13,vocabulary-carried (fixable),0.0,scrubbed,1,0.3441,1.0
featured,butt,11566,0,1,36,4,4.5629912897027225e-06,0.2530334876048275,3.1335689369724505e-06,-5.649244863659329e-06,24.436992645263672,780.9328002929688,209.0372772216797,0.2676763956428247,0.033707864582538605,0.15730337798595428,0.000295515029486795,0.0009239581058864133,0.0002347614669170364,1,50.13,vocabulary-carried (fixable),0.0,scrubbed,1,0.0789,1.0
featured,butt,11566,1,1,36,4,4.5629912897027225e-06,0.2254427076679551,3.3929801798788303e-06,-5.189942950878966e-06,24.436992645263672,638.5584716796875,203.33583068847656,0.3184294621502939,0.033707864582538605,0.06741572916507721,0.00020914495902483546,0.0004706107793026604,0.00014375887262611933,1,50.13,vocabulary-carried (fixable),0.0,scrubbed,1,0.1429,1.0
featured,ass,718,0,1,35,5,1.986932799190476e-05,0.1861277346033603,2.4408342052775446e-08,-0.00010663127869684122,24.436992645263672,483.0508728027344,149.72581481933594,0.30995868809966964,0.01123595517128706,0.02247191034257412,0.0006131783577854678,0.001076816243585199,0.00014639817552433083,1,50.12,vocabulary-carried (fixable),0.0,scrubbed,1,0.5254,1.0
featured,ass,718,1,1,35,5,1.986932799190476e-05,0.3972854760165016,2.983536082696365e-08,-4.9940121412608624e-05,24.436992645263672,1549.419189453125,192.90586853027344,0.12450205202270698,0.0,0.02247191034257412,0.0014157938147816042,0.0036206125354510733,0.0003968809772217238,1,50.13,vocabulary-carried (fixable),0.0,scrubbed,1,0.3215,1.0
featured,cock,11694,0,1,35,5,5.742129877006619e-05,0.17827567944510114,2.384067602494926e-06,-0.000308819263188968,24.436992645263672,144.3415985107422,89.5848159790039,0.6206444774292619,0.056179776787757874,0.056179776787757874,0.0004169426318446158,0.00013325027393875643,0.00031382659876873085,1,49.54,vocabulary-carried (fixable),0.0,scrubbed,1,0.5827,1.0
featured,cock,11694,1,1,35,5,5.742129877006619e-05,0.18960554173423183,2.306235325180397e-06,-0.00029077082546778206,24.436992645263672,215.5294189453125,117.20919799804688,0.5438199507594229,0.06741572916507721,0.0,0.0005657774188054227,0.00021028311166446657,0.0003019335133191611,1,49.57,vocabulary-carried (fixable),0.0,scrubbed,1,0.6684,1.0
neg-control,seven,5093,0,0,40,0,7.022638842673562e-05,0.9306040604909261,1.920447238734635e-09,-7.546686150023598e-05,24.436992645263672,2534012.5,46299.23828125,0.018271116768859664,0.0,0.0,0.021876077765592684,,0.030094871631639233,1,50.04,vocabulary-carried (fixable),0.0,scrubbed,1,0.0211,1.0
neg-control,seven,5093,1,0,40,0,7.022638842673562e-05,0.9704665574762557,1.2032014458836688e-09,-7.236752961191253e-05,24.436992645263672,11879663.0,132018.34375,0.011112970439481323,0.0,0.0,0.023596141618374835,,0.031344497844323076,1,50.06,vocabulary-carried (fixable),0.0,scrubbed,1,0.0131,1.0
